Airlines,Business Model,Region,Financial,Traffic Growth,Yields,Macro Indicators,Competition,Ishka Credit Score,Ishka Credit Score Outlook or Proxy Score,Overall credit quality
Air Baltic,Hybrid Airline,Europe,,,,,,CCC+,CCC+,Critical
Aegean Airlines,Full-Service Carrier,Europe,,,,,,BBB-,BBB-,Stable
Aeroflot Group,Multi-Brand Airline Group,Europe,On Watch,On Watch,,,,B,CCC,Critical
Aerolineas Argentinas,Full-Service Carrier,South America,Improving Trend,,,Improving Trend,,,,
Afrijet,Full-Service Carrier,Africa,,,,On Watch,,,,
Air Arabia,Low-Cost Carrier,Middle East,,,,,,BBB+,BBB,Stable
Air Astana,Full-Service Carrier,Europe,,,,,Downward Pressure,BB-,BB-,Adequate but some concerns
Air Austral,Full-Service Carrier,Europe,,,,,,,,
Air Canada,Full-Service Carrier,North America,,Watch:Developing,,,,BB,BB,Adequate but some concerns
Air China,Full-Service Carrier,Asia Pacific,,,,,,B    ,B,Weak
Air Europa,Full-Service Carrier,Europe,Estimate - Improving Trend,,Market-based,,,CCC,CCC,Critical
Air France HOP!,Regional Airline,Europe,,,,,,,,
Air France-KLM Group,Multi-Brand Airline Group,Europe,,,,(On Watch),,BB-  ,BB,Adequate but some concerns
Air India,Multi-Brand Airline Group,Asia Pacific,,,,Watch: Developing,,B+,,
Air Macau,Full-Service Carrier,Asia Pacific,,,,,,,,
Air Mauritius,Full-Service Carrier,Africa,,,,,,,,
Air New Zealand,Full-Service Carrier,Asia Pacific,,,,,,BBB- ,BBB-,Stable
Air Niugini,Full-Service Carrier,Asia Pacific,,,,Recovery Trend,,,,
Air Nostrum,Regional Airline,Europe,Estimate ,,,,"Estimate, Downward Pressure",,,
Air Premia,Hybrid Airline,Asia Pacific,,,,,,,,
Air Senegal,Full-Service Carrier,Africa,,,,,,,,
Air Serbia,Full-Service Carrier,Europe,,,,On Watch,,,,
Air Transat/Transat,Tour Operator,North America,,Watch:Developing,,,,CCC,CCC,Critical
AirAsia X,Low-Cost Carrier,Asia Pacific,Recovery Underway,,,,,CCC,CCC,Critical
AirAsia X,Low-Cost Carrier,Asia Pacific,On Watch,,,,,,,
Airlink,Regional Airline,Africa,,,,,,,,
AJet,,Europe,,,,,,,,
Akasa Air,Low-Cost Carrier,Asia Pacific,,,,Watch: Developing,,,,
Alaska Air Group,Full-Service Carrier,North America,,,,Watch:Developing,,BB,BB,Adequate but some concerns
AlbaStar,Charter/ACMI,Europe,,Market-Based,,,,,,
Allegiant Travel Company,Low-Cost Carrier,North America,,,,Watch:Developing,,BB-,B+,Weak
American,Full-Service Carrier,North America,,,,Watch:Developing,,B-   ,B-,Weak
ANA Holdings,Multi-Brand Airline Group,Asia Pacific,,,,,,BBB-,BBB-,Stable
Arkia,Full-Service Carrier,Middle East,,,,,,,,
Asiana Airlines,Full-Service Carrier,Asia Pacific,,,,,,B-    ,B-,Weak
ASL Aviation Holdings,Charter/ACMI,Europe,,,,,,B+,,
Atlas Air,Charter/ACMI,North America,,,,Watch:Developing,,,,
Avelo Airlines,Low-Cost Carrier,North America,,Watch:Developing,,Watch:Developing,,CCC,CCC,Critical
Avianca Brazil,Full-Service Carrier,South America,(On Watch),,,,,D    ,CC,Critical
Avianca Group,Hybrid Airline,South America,Improving Trend,,,,,B+   ,B+,Weak
Avianca Holdings,Full-Service Carrier,South America,,,,,,CCC- ,CCC-,Critical
Azal Azerbaijan Airlines,Full-Service Carrier,Europe,,,,,,,,
Azul,Low-Cost Carrier,South America,,,,,,CCC    ,CCC,Critical
BA Cityflyer,Regional Airline,Europe,(Within BA context),,,,,,,
Bamboo Airways,Full-Service Carrier,Asia Pacific,,,,Watch: Developing,,,,
Bangkok Airways,Full-Service Carrier,Asia Pacific,,,,,,BB,BB-,Adequate but some concerns
Breeze Airways,Hybrid Airline,North America,Improving Trajectory,Watch:Developing,,Watch:Developing,,CCC,CCC,Critical
British Airways,Full-Service Carrier,Europe,,,,,,BB+ ,BBB-,Stable
CAA Congo,Regional Airline,Africa,,,,,,,,
